norad_id,jcat,object_name,bus,generation,label_source,label_confidence,launch_mass_kg,dry_mass_kg,span_m,area_to_mass_proxy,launch_date,decay_date
44235,S44235,Starlink 31,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-10-01
44236,S44236,Starlink 22,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-08-09
44237,S44237,Starlink 23,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-09-02
44238,S44238,Starlink 24,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2022-10-24
44239,S44239,Starlink 25,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-09-01
44240,S44240,Starlink 26,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2021-04-10
44241,S44241,Starlink 27,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-09-26
44242,S44242,Starlink 28,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-08-21
44243,S44243,Starlink 29,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-10-13
44244,S44244,Starlink 30,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-10-13
44245,S44245,Starlink 21,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-09-22
44246,S44246,Starlink 46,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-02-20
44247,S44247,Starlink 33,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-08-29
44248,S44248,Starlink 34,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-09-02
44249,S44249,Starlink 61,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2022-07-29
44250,S44250,Starlink 36,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-09-15
44251,S44251,Starlink 37,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-09-16
44252,S44252,Starlink 71,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2022-10-23
44253,S44253,Starlink 39,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-09-18
44254,S44254,Starlink 32,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-09-12
44255,S44255,Starlink 66,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-08-21
44256,S44256,Starlink 42,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-09-16
44257,S44257,Starlink 43,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2022-01-26
44258,S44258,Starlink 40,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-09-05
44259,S44259,Starlink 52,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-10-13
44260,S44260,Starlink 45,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-09-04
44261,S44261,Starlink 44,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-09-05
44262,S44262,Starlink 49,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-09-29
44263,S44263,Starlink 72,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-10-15
44264,S44264,Starlink 35,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-09-16
44265,S44265,Starlink 63,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-10-13
44266,S44266,Starlink 54,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-09-14
44267,S44267,Starlink 69,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-09-16
44268,S44268,Starlink 55,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2021-03-09
44269,S44269,Starlink 57,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-09-17
44270,S44270,Starlink 58,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-08-23
44271,S44271,Starlink 59,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-10-15
44272,S44272,Starlink 51,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-09-02
44273,S44273,Starlink 60,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-12-26
44274,S44274,Starlink 62,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-08-29
44275,S44275,Starlink 64,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2021-05-21
44276,S44276,Starlink 65,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-10-21
44277,S44277,Starlink 41,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-08-09
44278,S44278,Starlink 67,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-05-27
44279,S44279,Starlink 68,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2021-06-26
44280,S44280,Starlink 38,Starlink,v0.9,inferred_mass,medium,227.0,219.0,9.0,0.36986,2019-05-24,2020-09-06
